"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2017","159.53","157.12","161.23","156.95","30.49M","8.86%"
"10/17/2017","146.54","146.63","147.12","146.18","6.37M","-0.20%"
"10/16/2017","146.83","147.22","147.67","146.51","3.05M","-0.18%"
"10/13/2017","147.10","147.48","147.85","146.94","2.51M","0.05%"
"10/12/2017","147.03","147.56","147.89","146.77","3.26M","-0.40%"
"10/11/2017","147.62","148.40","148.47","147.28","3.70M","-0.59%"
"10/10/2017","148.50","147.71","148.95","147.65","4.03M","0.75%"
"10/09/2017","147.39","146.50","147.79","146.35","2.68M","0.62%"
"10/06/2017","146.48","146.64","146.85","146.32","2.62M","-0.16%"
"10/05/2017","146.72","146.68","147.54","146.48","2.69M","0.16%"
"10/04/2017","146.48","147.00","147.02","146.11","2.24M","-0.20%"
"10/03/2017","146.78","146.69","147.20","146.34","2.30M","0.08%"
"10/02/2017","146.66","145.35","146.87","145.21","2.97M","1.09%"
"09/29/2017","145.08","145.45","145.69","144.92","2.65M","-0.40%"
"09/28/2017","145.66","145.33","145.86","144.21","2.77M","0.00%"
"09/27/2017","145.66","146.68","146.90","145.03","3.50M","-0.61%"
"09/26/2017","146.56","146.36","147.42","145.94","4.49M","0.47%"
"09/25/2017","145.87","145.12","146.03","144.91","5.21M","0.51%"
"09/22/2017","145.13","145.59","145.59","144.59","2.79M","-0.09%"
"09/21/2017","145.26","145.65","145.89","145.10","2.56M","-0.43%"
"09/20/2017","145.88","144.93","145.88","144.42","5.45M","1.03%"
"09/19/2017","144.39","144.79","144.98","144.22","3.46M","-0.11%"
"09/18/2017","144.55","144.81","145.48","144.27","3.02M","-0.19%"
"09/15/2017","144.82","144.82","145.17","144.08","7.40M","-0.49%"
"09/14/2017","145.54","145.86","146.38","145.51","3.76M","-0.31%"
"09/13/2017","145.99","145.35","146.29","145.34","4.10M","0.16%"
"09/12/2017","145.76","145.11","146.37","144.51","5.24M","0.62%"
"09/11/2017","144.86","143.54","145.13","143.01","4.61M","1.69%"
"09/08/2017","142.45","143.15","143.15","141.64","3.37M","-0.31%"
"09/07/2017","142.90","144.10","144.64","142.41","4.19M","-0.64%"
"09/06/2017","143.82","143.88","144.47","143.50","3.27M","0.55%"
"09/05/2017","143.04","143.50","144.36","142.70","3.10M","-0.72%"
"09/01/2017","144.08","142.98","144.50","142.98","3.35M","0.73%"
"08/31/2017","143.03","143.02","143.66","142.63","3.66M","0.33%"
"08/30/2017","142.56","143.26","143.28","142.41","2.74M","-0.41%"
"08/29/2017","143.14","142.10","143.43","141.90","3.01M","0.44%"
"08/28/2017","142.51","144.11","144.56","142.39","5.13M","-0.86%"
"08/25/2017","143.74","143.30","144.19","143.25","2.87M","0.56%"
"08/24/2017","142.94","142.50","143.68","142.25","3.59M","0.56%"
"08/23/2017","142.14","140.70","143.05","140.68","4.05M","0.80%"
"08/22/2017","141.01","140.64","141.15","140.38","2.54M","0.48%"
"08/21/2017","140.33","139.59","140.42","139.13","3.19M","0.45%"
"08/18/2017","139.70","140.87","141.15","139.58","4.15M","-0.71%"
"08/17/2017","140.70","142.52","142.89","140.70","4.42M","-1.26%"
"08/16/2017","142.50","141.79","142.91","141.61","3.29M","0.30%"
"08/15/2017","142.07","142.55","143.34","140.58","4.68M","-0.18%"
"08/14/2017","142.32","142.00","142.76","141.94","2.25M","0.34%"
"08/11/2017","141.84","142.45","142.59","141.52","3.00M","0.00%"
"08/10/2017","141.84","141.64","142.42","141.23","4.53M","0.05%"
"08/09/2017","141.77","141.75","142.03","141.19","2.93M","-0.24%"
"08/08/2017","142.11","142.00","142.76","142.00","3.30M","-0.95%"
"08/07/2017","143.47","145.00","145.09","142.75","4.62M","-1.16%"
"08/04/2017","145.16","145.00","145.39","144.40","2.55M","0.15%"
"08/03/2017","144.94","144.43","145.34","144.43","3.04M","0.34%"
"08/02/2017","144.45","145.12","145.29","144.22","3.54M","-0.59%"
"08/01/2017","145.30","145.00","145.67","144.72","3.22M","0.44%"
"07/31/2017","144.67","144.38","144.93","144.17","4.36M","0.26%"
"07/28/2017","144.29","144.81","145.04","143.84","3.05M","-0.54%"
"07/27/2017","145.07","145.00","145.40","143.64","6.43M","-0.20%"
"07/26/2017","145.36","146.27","146.46","144.47","3.93M","-0.57%"
"07/25/2017","146.19","146.57","147.49","146.03","4.21M","0.14%"
"07/24/2017","145.99","147.00","147.04","145.80","3.88M","-0.74%"
"07/21/2017","147.08","147.59","147.87","146.51","6.51M","-0.39%"
"07/20/2017","147.66","147.53","148.83","147.03","7.21M","0.09%"
"07/19/2017","147.53","150.02","150.25","146.71","14.29M","-4.20%"
"07/18/2017","154.00","152.36","154.29","152.00","7.57M","0.65%"
"07/17/2017","153.01","153.59","153.88","152.24","4.76M","-0.80%"
"07/14/2017","154.24","154.01","154.62","153.40","3.26M","0.40%"
"07/13/2017","153.63","153.70","154.19","153.19","2.48M","-0.05%"
"07/12/2017","153.70","153.48","154.24","153.05","3.10M","0.33%"
"07/11/2017","153.19","153.26","153.65","152.05","3.45M","-0.15%"
"07/10/2017","153.42","152.91","153.89","152.63","3.21M","0.31%"
"07/07/2017","152.94","152.62","153.49","152.14","2.46M","0.38%"
"07/06/2017","152.36","153.36","153.83","152.23","2.76M","-0.85%"
"07/05/2017","153.67","155.77","155.89","153.63","3.56M","-1.23%"
"07/03/2017","155.58","153.58","156.03","153.52","2.82M","1.14%"
"06/30/2017","153.83","154.28","154.50","153.14","3.57M","-0.19%"
"06/29/2017","154.13","155.35","155.74","153.62","3.26M","-0.77%"
"06/28/2017","155.32","155.15","155.55","154.78","2.22M","0.37%"
"06/27/2017","154.75","155.00","155.34","154.50","2.39M","-0.31%"
"06/26/2017","155.23","154.71","155.75","154.63","2.15M","0.73%"
"06/23/2017","154.11","154.34","154.68","153.80","3.28M","-0.19%"
"06/22/2017","154.40","154.55","154.99","153.69","2.38M","0.40%"
"06/21/2017","153.79","155.79","155.79","153.39","3.96M","-0.75%"
"06/20/2017","154.95","154.48","155.39","154.25","4.48M","0.07%"
"06/19/2017","154.84","155.51","155.86","154.54","4.63M","-0.35%"
"06/16/2017","155.38","154.23","155.42","152.97","6.74M","0.75%"
"06/15/2017","154.22","153.29","154.69","153.29","4.65M","0.27%"
"06/14/2017","153.81","153.97","154.94","152.94","3.05M","-0.29%"
"06/13/2017","154.25","155.44","155.48","154.15","3.52M","-0.60%"
"06/12/2017","155.18","154.19","157.20","154.02","6.47M","0.70%"
"06/09/2017","154.10","152.00","154.26","151.88","4.36M","1.31%"
"06/08/2017","152.10","151.00","152.82","150.92","3.71M","0.74%"
"06/07/2017","150.98","153.05","154.20","150.80","4.87M","-0.91%"
"06/06/2017","152.37","152.00","152.89","152.00","3.80M","-0.03%"
"06/05/2017","152.41","151.82","152.93","151.68","3.98M","0.24%"
"06/02/2017","152.05","153.07","153.20","151.80","3.59M","-0.41%"
"06/01/2017","152.67","152.80","152.87","151.63","2.92M","0.03%"
"05/31/2017","152.63","152.03","152.80","151.65","3.54M","0.59%"
"05/30/2017","151.73","151.95","152.67","151.59","3.67M","-0.50%"
"05/26/2017","152.49","152.85","153.00","152.06","2.44M","-0.46%"
"05/25/2017","153.20","153.25","153.73","152.95","2.58M","0.45%"
"05/24/2017","152.51","152.21","152.76","151.23","3.73M","0.32%"
"05/23/2017","152.03","152.57","153.68","151.92","2.56M","-0.40%"
"05/22/2017","152.64","152.10","152.84","151.60","3.30M","0.43%"
"05/19/2017","151.98","151.01","152.46","150.89","5.64M","0.80%"
"05/18/2017","150.78","150.86","151.33","150.11","3.27M","-0.10%"
"05/17/2017","150.93","153.30","154.14","150.89","5.19M","-1.79%"
"05/16/2017","153.68","151.66","153.99","151.66","5.51M","1.43%"
"05/15/2017","151.51","150.62","151.83","150.45","4.25M","0.76%"
"05/12/2017","150.37","150.30","151.26","150.00","3.72M","-0.19%"
"05/11/2017","150.65","151.05","151.15","149.79","5.63M","-0.40%"
"05/10/2017","151.25","151.65","152.37","151.13","5.00M","-0.57%"
"05/09/2017","152.11","152.60","153.10","151.56","6.85M","-0.60%"
"05/08/2017","153.03","152.80","153.47","152.20","7.49M","-1.30%"
"05/05/2017","155.05","153.52","155.78","153.00","12.52M","-2.51%"
"05/04/2017","159.05","158.89","159.14","158.36","4.28M","0.26%"
"05/03/2017","158.63","158.74","159.45","158.52","3.99M","-0.30%"
"05/02/2017","159.10","159.44","159.49","158.64","3.21M","0.16%"
"05/01/2017","158.84","160.05","160.42","158.70","4.94M","-0.90%"
"04/28/2017","160.29","160.50","160.59","159.70","4.15M","-0.02%"
"04/27/2017","160.32","160.29","160.48","159.63","4.12M","0.16%"
"04/26/2017","160.06","160.53","161.10","159.89","4.33M","-0.21%"
"04/25/2017","160.39","161.78","162.04","160.38","4.86M","-0.22%"
"04/24/2017","160.75","161.29","161.57","160.42","5.32M","0.23%"
"04/21/2017","160.38","162.05","162.11","160.38","5.61M","-1.18%"
"04/20/2017","162.30","161.32","162.40","160.50","6.49M","0.38%"
"04/19/2017","161.69","161.76","162.64","159.60","19.28M","-4.92%"
"04/18/2017","170.05","170.79","171.69","169.83","6.35M","-0.61%"
"04/17/2017","171.10","169.75","171.30","169.62","3.72M","0.93%"
